date;tmax;tmin;tmean;Prec;Q
#;°C;°C;°C;mm/day;m³/s
01.01.1979;-13.07;-20.34;-15.87;1.14;48.7
02.01.1979;-11.15;-19.17;-13.77;1.11;23.2
03.01.1979;-7.51;-16.22;-9.65;0.65;16.7
04.01.1979;-8.16;-15.51;-13.03;0.02;14
05.01.1979;-11.57;-17.87;-14.42;0;11.4
06.01.1979;-9.48;-17.59;-14.24;0.01;9.63
07.01.1979;-5.43;-16.49;-8.86;0.01;8.68
08.01.1979;-2.1;-7.48;-3.32;0.94;8.12
09.01.1979;0.37;-2.94;-0.83;3.4;7.76
10.01.1979;-0.28;-3.52;-1.86;7.61;7.4
11.01.1979;0.12;-2.03;-1.22;5.76;7.06
12.01.1979;-0.28;-1.83;-1.19;2.51;6.71
13.01.1979;-1.01;-4;-2.83;1.42;6.38
14.01.1979;-1.42;-5.88;-3.47;0.9;6.05
15.01.1979;-3.08;-7.44;-5.61;0.1;5.72
16.01.1979;-4.68;-7.78;-6.53;0.07;5.41
17.01.1979;-4.36;-7.52;-5.72;0;5.1
18.01.1979;-4.85;-9.41;-7.15;0;4.79
19.01.1979;-4.87;-9.85;-7.56;0.02;4.5
20.01.1979;-5.1;-10.2;-7.12;0.01;4.2
21.01.1979;-4.84;-9.04;-6.7;0.04;4.35
22.01.1979;-2.78;-7.58;-4.27;1.2;4.35
23.01.1979;1.58;-4.48;0.19;3.22;4.35
24.01.1979;2.23;-3.31;-2.33;0.55;4.79
25.01.1979;-0.83;-6.07;-4.36;0.05;4.35
26.01.1979;-1.7;-7.5;-3.32;0.01;4.2
27.01.1979;-0.69;-3.89;-1.99;2.48;4.06
28.01.1979;-0.42;-2.37;-1.38;0.71;3.92
29.01.1979;0.26;-2.52;-0.92;2.31;3.92
30.01.1979;1.56;-1.47;0.44;4.01;3.92
31.01.1979;0.48;-1.79;-0.65;1.5;3.92
01.02.1979;0.42;-1.79;-0.64;10.9;3.84
02.02.1979;3.69;-1.83;0.33;6.42;13.1
03.02.1979;-0.16;-4.43;-2.69;0;21.1
04.02.1979;-0.03;-3.55;-1.7;1.15;9.24
05.02.1979;1.41;-2.68;-1.05;0.04;7.26
06.02.1979;0.42;-7.73;-4.73;0.53;6.36
07.02.1979;0.27;-8.87;-2.51;5.17;5.64
08.02.1979;2.01;-2.77;-1.21;0.39;6.18
09.02.1979;-1.21;-9.09;-4.62;0;6
10.02.1979;-0.85;-7.94;-4.11;1.38;5.46
11.02.1979;0.43;-4.79;-1.74;7.42;5.1
12.02.1979;2.26;-2.54;0.79;3.57;5.82
13.02.1979;3.65;1.06;2.44;2.11;8.52
14.02.1979;4.54;0.29;1.96;4.42;21.6
15.02.1979;0.83;-6.61;-5.06;0.98;34
16.02.1979;-3.88;-8.92;-6.45;1.09;15.3
17.02.1979;-5.29;-8.85;-7.65;1.64;10.2
18.02.1979;-2.67;-7.75;-3.89;0.04;8.7
19.02.1979;0.42;-3.66;-1.35;0;7.8
20.02.1979;1.49;-3.16;-1.46;0;7.26
21.02.1979;1.62;-6.27;-3.16;0.01;6.9
22.02.1979;0.73;-7.94;-3.49;0.6;6.54
23.02.1979;-0.77;-4.51;-2.37;3.08;6.18
24.02.1979;0.61;-4.96;-2.93;0.55;6.18
